store_id,region,store_size_sqft,monthly_revenue,foot_traffic,avg_transaction_value,return_rate,inventory_turnover
STORE-0001,West,9427,223763.0,11090.0,56.15,0.026,4.0
STORE-0002,South,2191,98250.0,4194.0,38.15,0.065,7.09
STORE-0003,North,7736,91259.0,5677.0,41.76,0.041,3.62
STORE-0004,South,6095,81461.0,6500.0,41.99,0.05,8.94
STORE-0005,East,2481,97332.0,5092.0,39.74,0.059,7.76
STORE-0006,North,7088,89110.0,6325.0,49.3,0.049,6.79
STORE-0007,North,10310,39534.0,2360.0,17.34,0.092,2.07
STORE-0008,East,2352,230334.0,7130.0,66.42,0.083,9.88
STORE-0009,West,9297,125915.0,3987.0,42.49,0.069,4.14
STORE-0010,East,9491,38139.0,2585.0,27.55,0.043,2.1
STORE-0011,North,8406,74256.0,4619.0,40.01,0.086,6.97
STORE-0012,North,9852,34251.0,2308.0,27.53,0.051,2.34
STORE-0013,East,9740,99545.0,5503.0,40.89,0.095,9.33
STORE-0014,West,2187,103110.0,5380.0,54.58,0.093,7.58
STORE-0015,East,5679,76731.0,5599.0,52.47,0.097,2.07
STORE-0016,West,3656,84588.0,5822.0,37.89,0.112,8.43
STORE-0017,East,9871,160697.0,12289.0,77.1,0.064,2.57
STORE-0018,South,9082,78137.0,5808.0,45.81,0.117,6.69
STORE-0019,West,7482,98439.0,6581.0,38.99,0.068,9.87
STORE-0020,South,11861,105953.0,3674.0,33.36,0.082,8.55
STORE-0021,West,11780,96842.0,,29.58,0.059,7.75
STORE-0022,South,3879,72314.0,6463.0,36.07,0.034,8.88
STORE-0023,South,5358,227660.0,11852.0,66.6,0.116,5.49
STORE-0024,West,5167,36312.0,3895.0,28.85,0.087,2.7
STORE-0025,West,11492,95314.0,4136.0,48.99,0.061,9.32
STORE-0026,South,7101,149077.0,10675.0,74.15,0.042,4.74
STORE-0027,South,1639,94893.0,6196.0,36.34,0.043,7.61
STORE-0028,West,8193,82263.0,4396.0,52.99,0.116,7.02
STORE-0029,West,8989,95012.0,5253.0,34.18,0.11,8.44
STORE-0030,South,2879,204421.0,9316.0,54.12,0.098,6.65
STORE-0031,North,10183,84705.0,7735.0,37.84,0.068,9.47
STORE-0032,East,5151,38865.0,2700.0,27.94,0.1,5.22
STORE-0033,South,10573,106441.0,,36.44,0.069,3.05
STORE-0034,North,4539,50112.0,2388.0,28.46,0.102,8.85
STORE-0035,South,8512,223181.0,10209.0,76.08,0.115,8.36
STORE-0036,West,9505,82355.0,6131.0,40.67,0.043,7.02
STORE-0037,North,7972,195706.0,11341.0,41.8,0.065,5.2
STORE-0038,South,8231,33746.0,1594.0,27.39,0.088,7.1
STORE-0039,West,7768,46088.0,2562.0,22.28,0.063,8.98
STORE-0040,South,5114,101309.0,6021.0,36.49,0.043,5.52
STORE-0041,North,9882,111212.0,5412.0,37.3,0.066,7.02
STORE-0042,West,2201,69683.0,6730.0,40.45,0.04,5.02
STORE-0043,East,10401,86823.0,7233.0,40.08,0.043,4.7
STORE-0044,East,8715,100596.0,5660.0,46.74,0.093,7.15
STORE-0045,North,10241,35244.0,2205.0,24.1,0.103,7.79
STORE-0046,East,11117,36206.0,2377.0,23.81,0.1,8.24
STORE-0047,West,3230,175706.0,14314.0,64.4,0.076,2.53
STORE-0048,West,5223,85715.0,5201.0,44.86,0.028,2.23
STORE-0049,East,10577,44094.0,3013.0,22.19,0.099,3.57
STORE-0050,North,11068,49390.0,,25.97,0.062,7.41
STORE-0051,East,10623,27241.0,2715.0,27.83,0.089,6.06
STORE-0052,West,11928,89254.0,7464.0,48.95,0.097,8.29
STORE-0053,East,8745,29341.0,1617.0,24.83,0.063,7.42
STORE-0054,East,3489,79847.0,5520.0,41.32,0.088,6.62
STORE-0055,North,10565,99457.0,5799.0,40.19,0.078,8.68
STORE-0056,North,8327,74703.0,,40.45,0.063,5.99
STORE-0057,West,2180,106372.0,6456.0,40.93,0.029,7.47
STORE-0058,South,10879,99630.0,5976.0,41.99,0.067,7.5
STORE-0059,East,7840,37734.0,2341.0,30.68,0.075,6.04
STORE-0060,East,11089,207879.0,12178.0,60.23,0.068,7.23
STORE-0061,West,5666,101730.0,3942.0,37.18,0.076,5.38
STORE-0062,South,8855,193583.0,15570.0,63.46,0.025,2.25
STORE-0063,South,1987,70270.0,4348.0,44.25,0.041,3.42
STORE-0064,North,3724,46460.0,3243.0,22.15,0.1,4.9
STORE-0065,East,4432,190056.0,10209.0,82.55,0.037,7.17
STORE-0066,East,5101,149151.0,9414.0,56.45,0.102,7.04
STORE-0067,North,11747,96055.0,5159.0,54.07,0.102,6.74
STORE-0068,North,3229,85708.0,6507.0,42.42,0.108,2.41
STORE-0069,South,3076,107348.0,7549.0,32.48,0.067,8.81
STORE-0070,North,4520,40281.0,1115.0,19.89,0.077,5.58
STORE-0071,South,10666,22611.0,3604.0,19.47,0.083,7.99
STORE-0072,West,9144,36593.0,2854.0,30.99,0.106,5.09
STORE-0073,North,7990,184933.0,8316.0,64.48,0.087,7.81
STORE-0074,East,8691,86660.0,6422.0,40.23,0.053,5.58
STORE-0075,North,10268,45376.0,3926.0,26.4,0.031,4.08
STORE-0076,West,5238,112377.0,4284.0,39.2,0.098,8.17
STORE-0077,South,3040,196599.0,10370.0,58.22,0.054,5.57
STORE-0078,West,7520,40463.0,2018.0,21.2,0.086,5.01
STORE-0079,South,5719,29084.0,2707.0,27.77,0.056,7.87
STORE-0080,East,2503,93835.0,4008.0,34.64,0.116,8.27
STORE-0081,South,11883,112488.0,5590.0,30.85,0.071,5.71
STORE-0082,North,7175,70072.0,6108.0,33.74,0.078,6.91
STORE-0083,West,10938,87600.0,6173.0,41.8,0.02,9.33
STORE-0084,West,4187,66378.0,4861.0,40.5,0.069,8.47
STORE-0085,East,3297,73372.0,7716.0,38.81,0.055,5.44
STORE-0086,West,7404,95354.0,5753.0,55.08,0.074,6.42
STORE-0087,West,11022,81669.0,7461.0,40.49,0.025,8.17
STORE-0088,South,9536,89319.0,5696.0,46.83,0.112,7.18
STORE-0089,North,1764,110573.0,5967.0,37.24,0.05,5.69
STORE-0090,East,8031,81728.0,5797.0,41.54,0.075,9.67
STORE-0091,North,9885,85812.0,5836.0,35.94,0.088,3.41
STORE-0092,East,5430,78812.0,6574.0,41.17,0.108,5.45
STORE-0093,South,3167,236106.0,11996.0,63.07,0.117,2.34
STORE-0094,East,6385,46696.0,2627.0,24.08,0.056,6.7
STORE-0095,North,11915,47413.0,1621.0,26.63,0.036,7.78
STORE-0096,North,7496,93737.0,4129.0,36.67,0.035,6.15
STORE-0097,South,3198,43814.0,2427.0,31.69,0.088,6.46
STORE-0098,South,6349,109274.0,6871.0,51.11,0.104,9.9
STORE-0099,South,10477,90994.0,6724.0,41.58,0.058,9.26
STORE-0100,West,6778,74045.0,4355.0,40.84,0.025,7.17
STORE-0101,East,2234,80405.0,5407.0,27.42,0.08,9.77
STORE-0102,North,7848,180291.0,12386.0,60.46,0.08,4.48
STORE-0103,South,11043,91680.0,8511.0,40.47,0.097,6.78
STORE-0104,West,5916,152640.0,13937.0,63.24,0.103,7.04
STORE-0105,South,2971,228272.0,9183.0,60.45,0.11,7.74
STORE-0106,North,10261,95880.0,6700.0,39.76,0.088,6.13
STORE-0107,West,4210,57454.0,4207.0,45.36,0.052,2.59
STORE-0108,West,10303,44722.0,2558.0,30.01,0.112,3.69
STORE-0109,East,4590,40724.0,2603.0,23.66,0.102,7.84
STORE-0110,North,8227,89443.0,6563.0,41.95,0.055,8.19
STORE-0111,West,11645,188265.0,4538.0,69.09,0.049,6.5
STORE-0112,North,7682,73567.0,4093.0,37.99,0.091,4.89
STORE-0113,South,8669,154085.0,8276.0,78.15,0.096,2.98
STORE-0114,East,4431,71015.0,,42.1,0.091,9.39
STORE-0115,East,5880,87795.0,6407.0,36.68,0.087,5.13
STORE-0116,South,7351,50543.0,2507.0,29.01,0.047,7.09
STORE-0117,East,5910,113763.0,8027.0,40.89,0.051,9.07
STORE-0118,South,11588,88795.0,7793.0,32.68,0.108,9.57
STORE-0119,North,8243,145601.0,14840.0,56.83,0.08,2.2
STORE-0120,East,8396,174700.0,17233.0,65.94,0.112,4.73
STORE-0121,North,9483,82400.0,6521.0,31.27,0.05,4.76
STORE-0122,South,11954,70287.0,6720.0,43.29,0.029,8.95
STORE-0123,South,7093,180387.0,12116.0,42.43,0.103,9.79
STORE-0124,West,11040,38274.0,2931.0,28.16,0.061,6.11
STORE-0125,East,3994,102351.0,6479.0,26.34,0.059,4.31
STORE-0126,East,4199,89762.0,5166.0,41.23,0.034,6.03
STORE-0127,West,8484,97413.0,7385.0,34.18,0.076,2.34
STORE-0128,East,8754,49817.0,2636.0,19.22,0.049,5.45
STORE-0129,East,8006,94024.0,8471.0,35.87,0.042,9.52
STORE-0130,North,3634,39843.0,2350.0,27.49,0.115,5.12
STORE-0131,South,7414,173140.0,12453.0,62.86,0.097,2.15
STORE-0132,South,8627,47839.0,1574.0,22.79,0.037,4.75
STORE-0133,North,6577,88356.0,6161.0,40.67,0.112,9.31
STORE-0134,South,11085,94303.0,7466.0,52.5,0.105,2.77
STORE-0135,North,11731,34389.0,2545.0,24.31,0.023,6.4
STORE-0136,South,6347,49217.0,2413.0,32.39,0.041,7.89
STORE-0137,South,9721,103198.0,6395.0,27.09,0.065,5.91
STORE-0138,North,3482,160809.0,14631.0,61.58,0.055,7.52
STORE-0139,East,9118,103879.0,6711.0,32.27,0.097,3.51
STORE-0140,North,7796,65385.0,4083.0,41.66,0.025,9.62
STORE-0141,North,11498,40008.0,1571.0,19.89,0.04,2.23
STORE-0142,West,8743,33257.0,2309.0,28.42,0.077,8.25
STORE-0143,East,3752,176734.0,9998.0,77.04,0.061,8.88
STORE-0144,North,1529,96088.0,5977.0,26.19,0.086,7.9
STORE-0145,South,1619,102372.0,5048.0,39.59,0.05,7.78
STORE-0146,South,5132,74116.0,7424.0,41.05,0.08,8.54
STORE-0147,North,3706,46994.0,2259.0,20.05,0.033,6.61
STORE-0148,North,3517,94457.0,7223.0,37.39,0.06,6.21
STORE-0149,East,1814,34839.0,,27.56,0.114,7.5
STORE-0150,North,2203,95698.0,7150.0,47.2,0.109,5.94
STORE-0151,East,11482,81153.0,6361.0,39.28,0.114,4.2
STORE-0152,South,4394,41161.0,1646.0,18.99,0.1,7.84
STORE-0153,North,2268,107152.0,3558.0,33.31,0.055,5.53
STORE-0154,South,8456,80432.0,5599.0,38.9,0.059,4.26
STORE-0155,North,5217,81324.0,6685.0,31.88,0.087,6.95
STORE-0156,South,8070,44907.0,2670.0,30.12,0.091,2.32
STORE-0157,West,6966,193384.0,10750.0,81.94,0.071,8.57
STORE-0158,North,3414,91181.0,8205.0,45.18,0.095,3.46
STORE-0159,West,10472,189418.0,10805.0,60.23,0.025,3.26
STORE-0160,West,5832,38012.0,,24.55,0.046,4.23
STORE-0161,North,8756,29335.0,3726.0,24.67,0.071,2.95
STORE-0162,West,1940,91274.0,5342.0,38.03,0.111,3.37
STORE-0163,North,10301,83611.0,5146.0,40.57,0.034,7.6
STORE-0164,East,4418,91293.0,6808.0,40.07,0.063,5.28
STORE-0165,North,5594,186360.0,13685.0,55.23,0.042,8.0
STORE-0166,West,7414,93325.0,6006.0,32.42,0.087,7.11
STORE-0167,South,5065,46760.0,2385.0,27.91,0.106,6.95
STORE-0168,East,8498,94408.0,7246.0,35.23,0.092,4.14
STORE-0169,West,6013,91907.0,6252.0,43.33,0.021,6.12
STORE-0170,North,9977,84003.0,4524.0,41.46,0.069,5.42
STORE-0171,West,7617,107260.0,4578.0,44.26,0.096,2.02
STORE-0172,West,3102,75871.0,6129.0,32.58,0.029,7.09
STORE-0173,North,9356,96776.0,4575.0,44.61,0.069,4.68
STORE-0174,North,9112,102512.0,6403.0,34.29,0.062,7.66
STORE-0175,West,9654,117132.0,8205.0,40.88,0.096,5.6
STORE-0176,West,9210,43602.0,2992.0,21.64,0.089,3.98
STORE-0177,North,10056,89261.0,4264.0,36.8,0.057,5.42
STORE-0178,West,7964,32981.0,2834.0,21.75,0.12,7.36
STORE-0179,North,4934,75268.0,5260.0,38.71,0.115,4.56
STORE-0180,South,9006,43180.0,2641.0,29.45,0.107,5.12
STORE-0181,South,10814,119833.0,4585.0,47.26,0.079,3.46
STORE-0182,West,10488,42331.0,2256.0,29.59,0.06,3.26
STORE-0183,East,4727,202870.0,12166.0,45.59,0.079,5.74
STORE-0184,East,3571,35496.0,1818.0,23.53,0.107,2.02
STORE-0185,North,6824,205580.0,16417.0,60.4,0.027,4.3
STORE-0186,North,2852,93704.0,4396.0,43.54,0.1,3.87
STORE-0187,East,4371,38773.0,2859.0,26.61,0.1,3.81
STORE-0188,West,4584,166713.0,15296.0,62.0,0.068,7.44
STORE-0189,North,2497,147130.0,12760.0,63.85,0.103,2.11
STORE-0190,North,5576,202310.0,11722.0,54.08,0.025,3.95
STORE-0191,West,3001,101248.0,4753.0,44.86,0.046,8.37
STORE-0192,East,1651,88485.0,6049.0,36.61,0.056,9.09
STORE-0193,South,10862,92425.0,4979.0,47.81,0.082,3.52
STORE-0194,North,10439,167892.0,15215.0,70.01,0.086,7.83
STORE-0195,North,11540,33101.0,2559.0,22.0,0.028,4.63
STORE-0196,North,2567,184025.0,14940.0,60.29,0.073,6.56
STORE-0197,North,5222,209160.0,9608.0,64.39,0.035,9.05
STORE-0198,South,11417,82848.0,6334.0,45.46,0.116,9.18
STORE-0199,South,8727,108648.0,5782.0,33.17,0.071,4.0
STORE-0200,North,9215,97980.0,7017.0,43.04,0.03,8.94
STORE-0201,North,8256,98803.0,2512.0,47.51,0.097,8.29
STORE-0202,South,11683,154558.0,13395.0,62.48,0.033,3.99
STORE-0203,West,2379,192916.0,12192.0,81.69,0.042,5.59
STORE-0204,North,4865,87444.0,7129.0,33.92,0.038,4.94
STORE-0205,West,2143,106288.0,5931.0,36.13,0.061,9.22
STORE-0206,North,8758,39129.0,2053.0,24.21,0.107,9.42
STORE-0207,West,7402,216510.0,9354.0,83.26,0.057,7.48
STORE-0208,North,4910,98019.0,5017.0,42.98,0.023,6.87
STORE-0209,East,1706,84039.0,6201.0,48.04,0.09,2.79
STORE-0210,South,6254,62304.0,,39.8,0.045,4.71
STORE-0211,East,3814,83445.0,6325.0,48.84,0.076,8.15
STORE-0212,East,2946,114567.0,8472.0,54.36,0.045,2.83
STORE-0213,South,11218,36259.0,3002.0,27.28,0.049,6.37
STORE-0214,West,10495,103199.0,6749.0,39.1,0.069,5.16
STORE-0215,South,10641,222662.0,12423.0,65.02,0.054,8.08
STORE-0216,West,1745,46255.0,2977.0,25.2,0.071,8.04
STORE-0217,North,8340,85157.0,7135.0,47.45,0.044,2.8
STORE-0218,South,6753,72812.0,5350.0,40.95,0.044,6.67
STORE-0219,North,4527,137359.0,13297.0,86.71,0.118,8.86
STORE-0220,South,1796,213076.0,11508.0,64.99,0.11,6.26
STORE-0221,South,5721,47389.0,3214.0,33.31,0.066,6.25
STORE-0222,South,3064,142226.0,13534.0,53.1,0.029,5.64
STORE-0223,North,3926,116873.0,5314.0,45.81,0.051,8.05
STORE-0224,West,5451,94642.0,4907.0,39.88,0.053,9.52
STORE-0225,North,2740,90365.0,5763.0,35.33,0.029,2.55
STORE-0226,North,11743,180085.0,12504.0,68.53,0.046,6.37
STORE-0227,South,6729,71598.0,4628.0,41.3,0.081,9.54
STORE-0228,West,8083,31359.0,1857.0,22.38,0.046,4.67
STORE-0229,North,3519,75070.0,5116.0,38.8,0.038,9.28
STORE-0230,North,4167,188793.0,12473.0,64.46,0.084,7.28
STORE-0231,East,8768,106172.0,6676.0,37.36,0.046,8.31
STORE-0232,West,3682,35893.0,3167.0,15.69,0.083,2.62
STORE-0233,West,4807,38676.0,2464.0,26.98,0.085,8.08
STORE-0234,South,7086,162888.0,13193.0,47.8,0.078,3.7
STORE-0235,North,8763,76196.0,7163.0,49.29,0.062,4.49
STORE-0236,South,7113,82123.0,7725.0,46.54,0.116,5.37
STORE-0237,East,7360,36874.0,2546.0,28.25,0.071,7.39
STORE-0238,South,5509,30706.0,3000.0,30.87,0.056,6.41
STORE-0239,South,10678,103213.0,5401.0,48.21,0.118,5.58
STORE-0240,North,6313,105182.0,7494.0,39.23,0.115,4.69
STORE-0241,East,5039,70703.0,6128.0,39.95,0.092,3.93
STORE-0242,North,4669,92963.0,6541.0,45.68,0.115,9.27
STORE-0243,South,9003,175668.0,16172.0,71.4,0.094,4.11
STORE-0244,South,9118,170502.0,12510.0,67.04,0.09,8.21
STORE-0245,South,6044,88324.0,6099.0,35.86,0.063,8.71
STORE-0246,West,4575,44869.0,1968.0,19.22,0.113,5.93
STORE-0247,East,3553,88177.0,5064.0,37.34,0.085,3.27
STORE-0248,East,2672,38515.0,3155.0,25.69,0.104,5.22
STORE-0249,West,9735,87157.0,5710.0,40.88,0.071,6.84
STORE-0250,North,9437,71560.0,4782.0,31.25,0.074,7.54
